delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,mean,variance,min,max,skewness,kurtosis,hjorth_activity,hjorth_mobility,hjorth_complexity,entropy,label
28.00411679,34.69950479,39.86090169,158.7828568,0.251040336,0.218534327,0.176367382,0.870514798,0.702545994,0.315658655,52.03971354,247.9998551,2,112,-0.035747667,0.081300139,247.9998551,0.489002763,2.144713593,2.508522513,0
23.74730045,40.39795804,41.67827453,160.5266919,0.259634545,0.251658821,0.147933656,0.969280962,0.569776478,0.317228897,51.90234375,937.1344737,-35,147,-0.039306389,-0.868865282,937.1344737,1.018814098,1.131451461,1.361219679,0
48.71564056,60.63308654,60.87030758,177.6313069,0.342677812,0.341342343,0.274251434,0.996102845,0.80031862,0.458482125,51.91054688,385.5960346,-29,121,0.034355673,0.215060808,385.5960346,0.296637456,3.251251213,2.279720983,0
27.39048631,38.82113802,42.05042002,152.8289454,0.275146962,0.25401692,0.179223159,0.923204525,0.651372479,0.339756978,51.56145833,250.6433583,-12,102,-0.102780599,0.077198534,250.6433583,0.488559855,2.157746194,2.91448235,0
39.0173057,36.67968928,45.12366893,121.7307703,0.370684165,0.30131814,0.320521308,0.812870277,0.864674939,0.453670848,51.678125,229.7208757,5,173,0.168963455,1.192899354,229.7208757,0.383829226,2.594337566,3.026022262,0
56.93253748,33.80464353,41.21981272,104.2557911,0.395371924,0.324247154,0.546085132,0.820106674,1.381193502,0.623727818,53.203125,342.3113444,-6,119,0.057385838,-0.239619466,342.3113444,0.45461575,2.420799819,2.359496483,0
28.44001645,42.40814688,39.69668035,132.5444708,0.299497068,0.3199541,0.214569618,1.068304616,0.716433117,0.411331223,51.67304688,202.3385444,-3,113,-0.091731889,0.417819988,202.3385444,0.413808855,2.443776145,3.131133102,0
35.3055038,38.57347106,33.20050251,110.2811231,0.301053359,0.349774014,0.320140953,1.161833953,1.063402694,0.514901992,51.65416667,202.8494097,1,102,-0.027721698,-0.119382701,202.8494097,0.423957153,2.442817267,2.992706479,0
81.40916452,72.77378754,67.6769341,159.5968049,0.42404943,0.455985241,0.510092696,1.07531153,1.202908577,0.678401969,51.49179688,519.2830056,-43,128,-0.441349917,0.722683121,519.2830056,0.256541675,3.861116619,2.29552818,0
32.70084686,31.64652553,41.46259623,150.3665097,0.275743557,0.210462593,0.21747427,0.763254799,0.78868305,0.335441132,51.88997396,220.0187536,5,106,0.188444404,-0.055294641,220.0187536,0.360362081,2.717568309,2.844738425,0
