delta,theta,alpha,beta,abr,tbr,dbr,tar,dar,dtabr,label
240.9444480943107,91.48831885276739,78.20612337141216,115.32463981111246,0.6781388912161715,0.793311117230576,2.089271195548046,1.1698357482607362,3.0808898038588457,0.5821651245749005,0
232.10506308095756,91.20869724876519,78.069043381291,113.0398408055274,0.6906329912088268,0.8068721310894246,2.053303166626612,1.168308119305367,2.9730742561728483,0.5910941866251569,0
231.90064860119037,91.55139944129527,78.27333536657369,110.99708673209295,0.7051836914918079,0.8248090300087553,2.089249866178156,1.1696371313747789,2.962703039485176,0.5851575936653394,0
242.58026655033103,92.70265996835967,77.52577810197232,110.70704679820591,0.7002786213174343,0.8373690984399196,2.191190837133434,1.1957656180686722,3.1290271763703794,0.5614148828114723,0
250.5014845789597,95.29783082254696,77.11418801847202,111.09122312689897,0.6941519397116085,0.857834022708425,2.2549169729890637,1.2358015207229984,3.248448709839936,0.544261954153513,0
251.95578254136026,96.5476218409774,76.85170922848182,111.83296928694685,0.6872008292231937,0.8633198461649577,2.25296515104485,1.256284639733115,3.2784668691270116,0.5414141616488363,0
251.08760564141917,96.79723631681685,75.33036398015791,112.29423730989436,0.6708301849209896,0.861996471374475,2.235979438094421,1.284969714766191,3.333152694012681,0.5393296248089384,0
253.62024242188636,96.2475108004078,74.73690552944049,112.51704141555817,0.6642274324776756,0.8554038534033057,2.2540607114365283,1.287817713599258,3.3935074060830606,0.5352135063045488,0
262.0220434190802,96.17538182807664,76.73963908444479,113.41059521795869,0.6766531728094923,0.8480281903400783,2.3103841657431734,1.253268623302289,3.414428925457279,0.5308531577835868,0
266.0229715217433,95.77461748226057,79.58181189312135,114.68553394263853,0.6939132526768829,0.835106348549273,2.319586109742473,1.203473698373269,3.342760929834232,0.5369503604779688,0
262.07772786471486,94.90862715356016,82.14071855188931,115.53661434316075,0.7109496761599685,0.8214593070181854,2.2683521527323403,1.1554394559332375,3.1905945368515023,0.55373918391063,0
251.907580790945,93.38817761842226,85.38205136619186,115.96638994810368,0.7362654938590512,0.8053038269123887,2.1722464664432217,1.093768258364902,2.9503575606370487,0.5831187798014762,0
243.8743484444789,91.84000268968303,89.14643833024554,116.83159651945138,0.7630336397517558,0.7860887416221564,2.087400632275671,1.0302150530059215,2.7356600332257734,0.6135514736079355,0
237.5294742294003,93.9541479256847,92.88846844251327,117.26067851280911,0.7921535984662283,0.8012417215837746,2.0256532474648226,1.0114726779442051,2.5571470626238426,0.6339653995243356,0
233.3890827912352,98.10528928481214,95.68367230865802,116.69693110771419,0.8199330642237678,0.8406843980692046,1.999959044131257,1.0253085706027507,2.439173551349124,0.6406763471919531,0
235.54887334545916,103.3988765944322,98.53794074399102,116.2213361229479,0.8478472544813112,0.8896720692063709,2.026726599462575,1.049330601124193,2.3904383587377054,0.6336058489989213,0
243.80079362205652,109.50632713990507,102.25553871917299,118.01856038661808,0.8664360790725895,0.9278737749483835,2.0657834905237555,1.070908515191975,2.3842306898564476,0.6234635142103443,0
256.70687577266017,117.98032378834941,104.24409361997843,121.2962282773689,0.8594174369676423,0.9726627568217786,2.1163632160568655,1.1317698652400046,2.4625555929191,0.6019429597851075,0
275.34725082544753,127.19076472391242,105.35089950528783,125.20231040601541,0.8414453308700778,1.0158819299056758,2.199218608127365,1.2073059207010226,2.6136203119141586,0.5727489106753257,0
303.90116838729915,135.18603080137163,104.95522333380276,129.01702554858133,0.8134990160215863,1.0478154354168348,2.3555121279157474,1.288035283117086,2.895531625146113,0.5328605555222503,0
338.639747482293,140.32643760465058,104.15805266231759,134.08697022556677,0.7767947361857644,1.0465329880195482,2.5255231504792666,1.347245210695246,3.251210432861774,0.49741512095397156,0
364.6348547610569,141.26903678182236,103.28042146957715,142.23040196771137,0.7261486998611133,0.9932407897848221,2.563691374814753,1.3678201034785218,3.530532210971522,0.48529143092483923,0
375.80296916752496,139.20347593075743,101.51550837960234,152.38700381226369,0.6661690684900299,0.9134865339451915,2.466109049761902,1.3712533006309389,3.7019266825938058,0.4930084169012914,0
370.75301977683927,134.06704518436197,99.02215034576447,164.1409597719773,0.6032750782213342,0.8167799516379479,2.258747726904272,1.35390965270122,3.74414228010852,0.521300812672665,0
357.4251735864639,127.24659835500056,97.36835646601246,173.7208924727637,0.5604873143354249,0.732477231401229,2.0574679792328476,1.3068578229459737,3.6708555690906346,0.5593254334843263,0
347.45943132124336,120.6110709521907,95.10870047331571,177.5114193052957,0.5357891951150566,0.6794552791263301,1.9573919958561088,1.26813919601425,3.653287549846491,0.582433882191863,0
338.59624742310075,116.31316318472726,92.90896947154201,175.2193091043942,0.5302438980408696,0.663814757512991,1.9324140082150874,1.2519045668712745,3.6443870742405844,0.5894102700968004,0
336.31777197327716,114.77890292909665,90.10543314450673,167.85904113910772,0.5367922545788569,0.683781476113505,2.0035725790579533,1.2738288793864383,3.7324915960828577,0.5718607310493765,0
333.2092063727772,112.87788396027426,87.31001775849603,155.7892170332571,0.5604368480769598,0.7245551785280342,2.13884640232607,1.2928400068878723,3.816391462597693,0.5449591347964221,0
328.3724323500107,113.0758418495026,84.58117995375748,141.5495996476037,0.597537401478545,0.7988425409256666,2.3198400643132424,1.3368912790212173,3.882334492490405,0.51224751079027,0
327.8416974326961,110.93093287657973,80.3502539476068,127.36914481893278,0.630845516485427,0.8709403916802495,2.5739491138042414,1.3805921876602079,4.0801575766825655,0.4734101090583642,0
322.82713049240914,105.38727906435649,74.38211256838211,114.20366507920409,0.651311081100555,0.9228011989918788,2.8267668140818216,1.4168363256350138,4.3401177964073385,0.4404003542122433,0
